Customer ID,Gender,Age,City Code,Product Code,Total Bill (Taka),Customer Value
1,Female,19,3,9,9120,101
2,Female,27,4,2,6110,101
3,Female,34,2,4,7010,100
4,Female,42,2,6,10710,100
5,Female,33,16,8,7620,101
6,Female,30,16,6,10710,100
7,Female,25,3,4,7010,101
8,Female,22,3,4,7010,100
9,Female,31,7,3,7300,100
10,Female,44,1,9,9070,100
11,Female,22,1,2,6060,101
12,Female,43,5,9,9120,100
13,Female,40,18,10,9670,101
14,Female,22,1,9,9070,101
15,Female,41,1,2,6060,101
16,Female,22,1,6,10660,100
17,Male,38,1,6,10660,101
18,Female,37,3,4,7010,101
19,Male,25,3,1,5719,100
20,Female,22,17,1,5719,100
21,Male,42,1,7,6570,100
22,Female,46,10,2,6110,100
23,Female,42,6,2,6110,100
24,Female,40,1,2,6060,100
25,Female,29,1,2,6060,100
26,Female,32,10,10,9670,100
27,Female,22,3,6,10710,101
28,Female,43,1,2,6060,101
29,Male,22,5,1,5719,100
30,Female,25,1,6,10660,100
31,Female,30,18,6,10710,101
32,Female,36,13,3,7300,101
33,Female,31,3,7,6620,100
34,Female,29,8,6,10710,100
35,Female,41,3,5,7680,101
36,Female,43,9,6,10710,100
37,Female,23,7,5,7680,101
38,Female,38,1,6,10660,100
39,Male,38,1,6,10660,101
40,Female,22,1,1,5669,101
41,Female,33,10,2,6110,100
42,Female,42,1,3,7250,100
43,Male,34,11,9,9120,100
44,Male,25,1,8,7570,101
45,Female,36,1,1,5669,100
46,Female,32,1,6,10660,100
47,Female,22,4,9,9120,101
48,Female,37,1,10,9620,101
49,Female,36,15,6,10710,101
50,Male,43,1,3,7250,101
51,Female,33,1,6,10660,100
52,Female,25,4,4,7010,101
53,Female,31,1,1,5669,100
54,Female,29,1,1,5669,100
55,Female,23,14,4,7010,100
56,Female,22,8,9,9120,100
57,Female,23,3,6,10710,101
58,Male,46,20,2,6110,101
59,Female,29,15,2,6110,100
60,Female,33,3,6,10710,100
61,Female,32,19,1,5719,101
62,Female,27,3,7,6620,100
63,Female,39,19,6,10710,100
64,Female,22,19,8,7620,101
65,Female,42,4,6,10710,100
66,Male,22,1,6,10660,101
67,Male,29,15,1,5719,101
68,Female,49,3,1,5719,100
69,Male,49,1,2,6060,100
70,Female,24,12,2,6110,100
71,Male,23,1,6,10660,100
72,Female,25,1,6,10660,101
73,Female,33,1,5,7630,101
74,Male,47,1,1,5669,100
75,Female,38,1,9,9070,100
76,Female,44,15,9,9120,101
77,Female,46,6,6,10710,101
78,Female,35,1,6,10660,101
79,Female,45,18,6,10710,101
80,Female,43,15,6,10710,101
81,Female,23,3,6,10710,101
82,Female,22,8,6,10710,101
83,Female,36,1,6,10660,101
84,Female,22,3,10,9670,101
85,Female,25,1,5,7630,101
86,Female,23,20,3,7300,100
87,Female,25,1,10,9620,100
88,Female,38,3,7,6620,101
89,Female,22,2,9,9120,100
90,Male,33,1,1,5669,101
91,Female,26,8,4,7010,100
92,Female,22,16,9,9120,100
93,Female,22,17,10,9670,101
94,Female,46,1,1,5669,101
95,Female,27,1,4,6960,100
96,Female,24,2,1,5719,100
97,Female,34,8,4,7010,100
98,Female,39,16,5,7680,100
99,Female,48,10,2,6110,100
100,Female,48,10,2,6110,100
101,Female,40,3,2,6110,100
102,Female,50,3,2,6110,100
103,Male,44,1,2,6060,100
104,Female,33,3,10,9670,100
105,Female,31,3,10,9670,101
106,Female,40,3,9,9120,101
107,Female,34,20,1,5719,101
108,Female,22,15,2,6110,100
109,Female,22,2,4,7010,100
110,Female,33,21,7,6620,100
111,Female,36,3,5,7680,100
112,Female,46,5,1,5719,100
113,Female,31,5,4,7010,100
114,Female,43,8,2,6110,100
115,Female,27,13,7,6620,100
116,Female,29,16,10,9670,100
117,Male,47,3,1,5719,101
118,Female,22,4,2,6110,100
119,Female,22,1,8,7570,100
120,Female,25,7,6,10710,100
121,Female,29,5,7,6620,101
122,Female,32,1,4,6960,100
123,Female,27,1,10,9620,100
124,Female,24,9,9,9120,101
125,Female,34,1,7,6570,101
126,Female,33,16,10,9670,100
127,Female,32,1,4,6960,101
128,Female,39,3,8,7620,100
129,Female,26,3,6,10710,100
130,Female,47,1,7,6570,101
131,Female,45,16,1,5719,100
132,Female,41,15,5,7680,100
133,Female,24,7,4,7010,100
134,Female,27,3,2,6110,100
135,Female,40,1,2,6060,100
136,Female,46,11,2,6110,100
137,Female,26,13,9,9120,100
138,Female,38,1,8,7570,101
139,Female,40,1,6,10660,100
140,Female,49,3,3,7300,101
141,Male,43,1,1,5669,100
142,Female,38,1,2,6060,100
143,Female,32,1,8,7570,100
144,Male,24,8,4,7010,100
145,Female,39,17,4,7010,100
146,Female,39,3,2,6110,100
147,Female,25,1,10,9620,100
148,Female,39,4,9,9120,101
149,Female,24,14,10,9670,101
150,Male,22,20,5,7680,101
151,Female,26,16,2,6110,100
152,Female,22,1,3,7250,100
153,Male,35,3,10,9670,100
154,Female,24,3,9,9120,101
155,Male,31,3,5,7680,101
156,Female,35,12,9,9120,100
157,Female,44,3,8,7620,101
158,Male,46,3,4,7010,100
159,Female,29,4,2,6110,100
160,Female,37,1,2,6060,100
161,Female,30,1,2,6060,100
162,Male,32,1,2,6060,100
163,Female,46,18,2,6110,100
164,Female,40,19,1,5719,100
165,Female,28,16,3,7300,100
166,Female,40,14,10,9670,100
167,Female,46,8,1,5719,101
168,Female,31,18,10,9670,100
169,Female,31,13,3,7300,101
170,Female,23,5,2,6110,100
171,Female,27,1,2,6060,100
172,Female,34,15,2,6110,100
173,Female,41,14,2,6110,100
174,Male,30,3,2,6110,100
175,Female,27,12,8,7620,100
176,Female,25,14,5,7680,100
177,Female,43,1,8,7570,100
178,Female,45,1,2,6060,100
179,Female,43,3,1,5719,100
180,Male,43,6,4,7010,100
181,Female,41,1,6,10660,100
182,Female,46,3,8,7620,101
183,Male,25,1,5,7630,100
184,Male,40,1,8,7570,100
185,Female,48,3,5,7680,100
186,Female,31,3,7,6620,100
187,Female,28,1,2,6060,100
188,Female,41,7,10,9670,100
189,Female,37,1,10,9620,101
190,Female,45,5,9,9120,101
191,Female,48,20,8,7620,101
192,Female,22,3,5,7680,100
193,Male,48,18,7,6620,100
194,Female,48,3,8,7620,100
195,Female,37,1,8,7570,100
196,Female,40,1,9,9070,100
197,Male,28,6,1,5719,101
198,Female,32,1,10,9620,100
199,Female,28,16,7,6620,101
200,Female,22,1,3,7250,100
201,Female,28,20,3,7300,100
202,Male,27,1,6,10660,100
203,Female,50,16,5,7680,101
204,Female,22,1,6,10660,100
205,Male,24,1,8,7570,101
206,Female,25,9,5,7680,100
207,Male,28,4,8,7620,100
208,Female,36,1,3,7250,100
209,Female,42,3,5,7680,100
210,Female,49,3,9,9120,100
211,Female,22,16,4,7010,101
212,Female,49,3,1,5719,100
213,Female,41,15,6,10710,100
214,Female,38,1,6,10660,101
215,Female,30,17,4,7010,101
216,Female,40,1,9,9070,100
217,Male,35,3,2,6110,101
218,Female,44,1,6,10660,100
219,Female,42,1,1,5669,101
220,Female,44,10,4,7010,100
221,Female,39,3,4,7010,100
222,Female,23,3,10,9670,100
223,Female,34,1,8,7570,101
224,Female,32,3,5,7680,100
225,Male,45,1,7,6570,100
226,Female,23,1,6,10660,100
227,Male,40,1,1,5669,101
228,Female,48,1,5,7630,100
